,Avg,Linear,Log
2019-09-10,0.3112414201183432,0.3294006541291905,0.3239646381728934
2019-09-11,0.34711194895591624,0.36068572351421213,0.3561181288079249
2019-09-12,0.28350375375375353,0.2947975157728707,0.29103196603254444
2019-09-13,0.24003237179487216,0.23474261083743858,0.24252991006160998
2019-09-14,0.3118943127962087,0.3008742690058478,0.29371568465631837
2019-09-15,0.2603241935483871,0.21445913757700205,0.19847602293944566
2019-09-16,0.28592990291262127,0.2939642857142854,0.2879957355873364
2019-09-17,0.22912979274611414,0.23813866799204772,0.24047589888717463
2019-09-18,0.26448571428571416,0.2691620098039218,0.26889521782112374
2019-09-19,0.2530148846960167,0.25076600566572216,0.24824646750467763
2019-09-20,0.2373339416058394,0.2748220251293424,0.264441992509667
2019-09-21,0.31449856115107916,0.30652892938496573,0.3174015117977795
2019-09-22,0.3057139705882351,0.3978349862258953,0.36849692737513723
2019-09-23,0.2582825757575759,0.26445861056751463,0.24086276963490194
2019-09-24,0.266352097130243,0.2926129392971244,0.2904501865639873
2019-09-25,0.2786314634146345,0.26063991962491617,0.26867603217448066
2019-09-26,0.27723263157894734,0.2733012291483759,0.28105796339106387
2019-09-27,0.28945780487804873,0.26921427264409886,0.2741847187849591
2019-09-28,0.3067827956989245,0.1071254054054054,0.1699751651918414
2019-09-29,0.3431611111111111,0.4044705882352941,0.36274654209158613
